date,close
2011-01-31,71.48
2011-02-28,74.0
2011-03-31,73.87
2011-04-29,76.05
2011-05-31,75.22
2011-06-30,73.89
2011-07-29,72.0
2011-08-31,67.8
2011-09-30,62.54
2011-10-31,69.4
2011-11-30,69.15
2011-12-30,69.37
2012-01-31,72.77
2012-02-29,75.89
2012-03-30,77.96
2012-04-30,77.52
2012-05-31,72.79
2012-06-29,75.21
2012-07-31,75.97
2012-08-31,77.84
2012-09-28,79.48
2012-10-31,78.07
2012-11-30,78.76
2012-12-31,79.15
2013-01-31,83.4
2013-02-28,84.28
2013-03-28,87.21
2013-04-30,88.87
2013-05-31,90.42
2013-06-28,89.93
2013-07-31,93.87
2013-08-30,91.27
2013-09-30,94.17
2013-10-31,98.27
2013-11-29,100.95
2013-12-31,103.17
2014-01-31,99.83
2014-02-28,104.63
2014-03-31,104.77
2014-04-30,105.25
2014-05-30,107.64
2014-06-30,110.11
2014-07-31,107.84
2014-08-29,112.23
2014-09-30,109.87
2014-10-31,112.5
2014-11-28,115.55
2014-12-31,114.63
2015-01-30,111.55
2015-02-27,117.86
2015-03-31,115.85
2015-04-30,116.79
2015-05-29,118.28
2015-06-30,116.04
2015-07-31,117.73
2015-08-31,110.64
2015-09-30,107.05
2015-10-30,115.73
2015-11-30,116.2
2015-12-31,113.31
2016-01-29,107.15
2016-02-29,107.15
2016-03-31,114.07
2016-04-29,114.67
2016-05-31,116.58
2016-06-30,116.89
2016-07-29,120.66
2016-08-31,120.79
2016-09-30,120.46
2016-10-31,118.07
2016-11-30,122.84
2016-12-30,124.46
2017-01-31,126.86
2017-02-28,131.7
2017-03-31,131.25
2017-04-28,132.61
2017-05-31,134.31
2017-06-30,135.27
2017-07-31,137.21
2017-08-31,137.65
2017-09-29,139.88
2017-10-31,143.11
2017-11-30,147.43
2017-12-29,148.61
2018-01-31,156.65
2018-02-28,150.85
2018-03-29,146.86
2018-04-30,147.24
2018-05-31,151.03
2018-06-29,151.98
2018-07-31,156.52
2018-08-31,161.83
2018-09-28,161.71
2018-10-31,150.24
2018-11-30,153.13
2018-12-31,138.69
2019-01-31,150.08
2019-02-28,155.19
2019-03-29,157.31
2019-04-30,163.5
2019-05-31,153.15
2019-06-28,162.79
2019-07-31,165.45
2019-08-30,162.36
2019-09-30,164.54
2019-10-31,167.99
2019-11-29,174.39
2019-12-31,178.42
2020-01-31,178.64
2020-02-28,164.23
2020-03-31,141.53
2020-04-30,160.21
2020-05-29,168.47
2020-06-30,171.68
2020-07-31,181.87
2020-08-31,195.15
2020-09-30,187.15
2020-10-30,182.85
2020-11-30,204.23
2020-12-31,211.84
2021-01-29,210.17
2021-02-26,216.25
2021-03-31,223.83
2021-04-30,235.78
2021-05-28,236.86
2021-06-30,242.08
2021-07-30,247.15
2021-08-31,254.22
2021-09-30,241.71
2021-10-29,258.38
2021-11-30,255.1
2021-12-31,264.43
2022-01-31,249.54
2022-02-28,242.7
2022-03-31,250.07
2022-04-29,227.91
2022-05-31,227.39
2022-06-30,207.76
2022-07-29,227.02
2022-08-31,218.31
2022-09-30,197.33
2022-10-31,212.92
2022-11-30,224.31
2022-12-30,210.52
2023-01-31,224.5
2023-02-28,219.15
2023-03-31,225.23
2023-04-28,227.99
2023-05-31,229.06
2023-06-30,243.74
2023-07-31,252.17
2023-08-31,247.79
2023-09-29,234.91
2023-10-31,229.31
2023-11-30,250.71
2023-12-29,262.26
2024-01-31,265.77
2024-02-29,279.77
2024-03-28,288.03
2024-04-30,275.98
2024-05-31,288.86
2024-06-28,297.54
2024-07-31,301.9
2024-08-30,309.06
2024-09-30,314.39
2024-10-31,312.24
2024-11-29,332.53
2024-12-31,322.16
2025-01-31,332.16
2025-02-28,326.39
2025-03-31,306.74
2025-04-30,304.67
2025-05-30,324.08
2025-06-30,339.57
2025-07-31,347.36
2025-08-29,354.71
2025-09-30,365.48
2025-10-31,373.71
2025-11-28,374.44
2025-12-31,373.44
2026-01-30,378.46
2026-02-27,376.26
2026-03-31,356.56
2026-04-08,370.73
